date,open,high,low,close,volume,change,Mkt-RF,SMB,HML,RMW,CMA
8/31/2011,52.79,53.49,48.31,53.19,424527100,0.4,-5.99,-3.2,-2.36,3.3,-0.38
7/29/2011,53.19,54.81,52.665,52.71,198103900,-0.48,-2.35,-1.2,-0.9,2.68,-1.82
6/30/2011,54.98,55.17,51.7933,53.14,266959787,-1.84,-1.75,0.13,-0.39,2.43,-1.51
5/31/2011,55.08,56.47,54.19,55.22,195699000,0.14,-1.27,-0.71,-2,1.91,-1.5
4/29/2011,52.25,55.16,51.92,54.98,177992800,2.73,2.9,-0.5,-2.49,1.11,-0.86
3/31/2011,52.16,53.88,50.97,52.05,279247300,-0.11,0.46,2.63,-1.85,1.8,-0.05
2/28/2011,56.37,56.73,51.52,51.98,276839200,-4.39,3.49,1.65,1.27,-1.93,0.87
1/31/2011,54.23,57.8975,53.54,56.07,260656500,1.84,1.99,-2.38,0.75,-0.65,0.77
12/31/2010,54.42,55.34,53.14,53.93,246182100,-0.49,6.82,0.99,3.76,-3.52,3.21
11/30/2010,54.05,55.72,53.43,54.09,241802400,0.04,0.6,3.64,-0.92,0.38,1.63
10/29/2010,53.6,54.82,52.93,54.17,208445100,0.57,3.88,0.86,-2.51,1.31,-0.33
9/30/2010,50.49,54.39,50.46,53.52,216284000,3.03,9.54,3.77,-3.18,-0.18,0.36
8/31/2010,51.55,52.48,50,50.14,272559100,-1.41,-4.77,-3.13,-1.93,0.58,-1.61
7/30/2010,48.1,51.81,47.77,51.19,280340800,3.09,6.93,0.14,-0.33,0.27,1.98
6/30/2010,50.8,52.08,48.01,48.07,390548500,-2.73,-5.57,-2.47,-4.7,-0.16,-1.55
5/28/2010,53.88,54.95,50,50.56,398119000,-3.32,-7.89,0.04,-2.44,1.3,-0.22
4/30/2010,55.75,55.9,53.52,53.64,269354100,-2.11,2,4.98,2.89,0.69,1.72
3/31/2010,54.04,56.27,53.15,55.6,270764400,1.56,6.31,1.85,2.21,-0.65,1.69
2/26/2010,53.62,54.5,52.66,54.07,278505000,0.45,3.4,1.51,3.23,-0.27,1.43
1/29/2010,53.74,55.2,52.51,53.43,291591500,-0.31,-3.36,0.34,0.43,-1.27,0.46
12/31/2009,54.85,55.08,52.31,53.45,264681300,-1.4,2.75,6.23,-0.17,1.02,-0.09
11/30/2009,49.81,55.09,49.52,54.55,306009700,4.74,5.56,-2.68,-0.34,1,0.12
10/30/2009,49.07,52,48.73,49.68,374017800,0.61,-2.59,-4.93,-4.2,4.17,-1.49
9/30/2009,50.81,52.1,48.73,49.09,375673300,-1.72,4.08,2.73,1.04,1.31,0.35
8/31/2009,50.22,52.56,48.75,50.87,344252000,0.65,3.33,-0.09,7.63,-3.02,3.34
7/31/2009,48.55,50.43,47.35,49.88,369068900,1.33,7.72,2.39,4.84,-0.46,3.14
6/30/2009,50.18,51.75,48.02,48.44,417698500,-1.74,0.43,2.29,-2.73,-1.41,-0.33
5/29/2009,50.5,51.38,48.12,49.74,377048900,-0.76,5.21,-2.32,0.27,-0.78,-2.16
4/30/2009,51.38,54.57,47.64,50.4,450522100,-0.98,10.18,7.13,5.36,1.31,0.13
3/31/2009,48.72,53,47,52.1,545295500,3.38,8.95,0.68,3.48,-2.52,-2.24
2/27/2009,46.57,50.67,46.25,49.24,509033200,2.67,-10.1,-1.33,-6.95,1.19,-1.02
1/30/2009,55.98,57.51,46.92,47.12,518547200,-8.86,-8.12,-2.13,-11.29,0.18,-1.16
12/31/2008,55.37,59.23,52.22,56.06,469411500,0.69,1.74,3.29,0.15,0.06,-1.49
11/28/2008,56.76,57.25,50.2,55.88,514798100,-0.88,-7.86,-3.89,-6.31,4.53,2.74
10/31/2008,59.51,60.3,47,55.81,748361300,-3.7,-17.23,-3.34,-2.3,3.04,2.05
9/30/2008,59.9,63.85,57.74,59.89,560153900,-0.01,-9.24,0.25,5.92,2.41,1.78
8/29/2008,58.75,61,56.81,59.07,395839100,0.32,1.53,3.46,1.59,1.86,0.84
7/31/2008,56,59.56,55.34,58.62,495577900,2.62,-0.77,3.72,5.42,-1.37,1.08
6/30/2008,57.41,59.95,55.85,56.2,443348300,-1.21,-8.44,1.15,-2.67,4.96,-0.55
5/30/2008,58.15,59.09,55.05,57.74,392991100,-0.41,1.86,3.06,-1.49,0.93,-0.06
4/30/2008,53.28,59.04,52.81,57.98,439232000,4.7,4.6,-1.14,-1.04,1.63,-2.47
3/31/2008,49.59,54.15,48.64,52.68,490180000,3.09,-0.93,0.56,0.3,0.79,0.5
2/29/2008,50.74,51.57,47.84,49.59,476630200,-1.15,-3.09,-0.66,-0.84,0.88,-0.93
1/31/2008,47.51,51.3,45.24,50.74,582620700,3.23,-6.36,-0.66,3.98,2.14,2.14
12/31/2007,47.59,50.05,46.87,47.53,304526500,-0.06,-0.87,0.15,-0.54,0.87,-1.04
11/30/2007,44.7,48.23,42.5,47.9,432340500,3.2,-4.83,-3.01,-0.95,1.89,-0.29
10/31/2007,43.83,47.7,43.27,45.21,437028000,1.38,1.8,-0.03,-3.05,-0.3,-0.09
9/28/2007,43.51,45.05,42.09,43.65,376154000,0.14,3.22,-2.43,-2.23,-0.52,-3.02
8/31/2007,46.05,48.42,42.92,43.63,561399200,-2.42,0.92,-0.37,-1.86,-1.21,-0.53
7/31/2007,48.2,49.26,45.73,45.95,345381600,-2.25,-3.73,-2.98,-3.72,0.2,-1.13
6/29/2007,47.9,51.44,47.69,48.11,443564800,0.21,-1.96,0.75,-1.07,0.53,0.08
5/31/2007,47.92,48.88,46.32,47.6,309199900,-0.32,3.24,0.4,-0.65,1.58,-1.36
4/30/2007,47.06,49.95,46.83,47.92,257144500,0.86,3.49,-2.03,-1.46,1.15,1.04
3/30/2007,47.8,48.32,45.06,46.95,347369500,-0.85,0.68,0.19,-0.96,0.64,-0.65
2/28/2007,47.51,50.42,47.44,48.31,268500400,0.8,-1.96,1.28,-0.13,-0.51,-0.71
1/31/2007,47.09,48.78,46.51,47.69,289921200,0.6,1.4,0.08,-0.69,0.25,0.38
12/29/2006,46.1,46.89,44.8,46.18,278046300,0.08,0.87,-0.82,2.73,-0.72,2.06
11/30/2006,49.38,49.7,45.97,46.1,371959900,-3.28,1.71,0.71,0.14,0.15,-0.81
10/31/2006,48.4,52.15,47.64,49.28,365494300,0.88,3.23,1.98,-0.3,-0.12,0.28
9/29/2006,45,49.95,44.02,49.32,265210400,4.32,1.84,-1.46,0.08,0.82,0.6
8/31/2006,44.35,45.45,43.48,44.72,237088700,0.37,2.03,0.44,-2.06,-1.86,2.09
7/31/2006,47.79,48.05,42.31,44.5,269589700,-3.29,-0.78,-3.64,2.62,1.63,0.9
6/30/2006,48.25,49.19,46.55,48.17,245733000,-0.08,-0.35,-0.24,0.85,1.33,-0.07
5/31/2006,45.92,50,45.54,48.45,302008400,2.53,-3.57,-2.85,2.42,1.15,1.46
4/28/2006,47.24,47.31,44.99,45.03,197107100,-2.21,0.73,-0.84,2.34,1.8,0.01
3/31/2006,45.5,48.87,44.86,47.24,267987900,1.74,1.46,3.4,0.59,0.09,-0.41
2/28/2006,46.05,47.02,44.52,45.36,236340600,-0.69,-0.3,-0.42,-0.35,-0.51,1.91
1/31/2006,46.36,46.95,44.54,46.11,322518700,-0.25,3.04,5.75,1.08,-0.64,-0.46
12/30/2005,48.59,49.74,46.75,46.8,258541900,-1.79,-0.25,-0.21,0.2,0.21,0.23
11/30/2005,47.12,50.87,46.61,48.56,267771900,1.44,3.61,0.85,-1.18,-0.74,-1.14
10/31/2005,44.15,47.5466,43.3,47.31,309168500,3.16,-2.02,-1.45,0.43,-0.94,-1.3
9/30/2005,44.95,46.48,42.31,43.82,445029400,-1.13,0.49,-0.35,0.72,0.27,-0.6
8/31/2005,49.62,49.87,44.7,44.96,280401100,-4.66,-1.22,-0.89,1.32,-2.05,0.36
7/29/2005,48.25,50.69,48.15,49.35,183397900,1.1,3.92,2.8,-0.78,-1.22,-0.81
6/30/2005,47.25,50.3,47.21,48.2,238335200,0.95,0.57,3.28,2.82,0.97,-0.51
5/31/2005,47.48,49.46,46.6,47.23,255131200,-0.25,3.65,2.79,-0.64,-1,0.3
4/29/2005,50.5,50.5,46.2,47.14,337397100,-3.36,-2.61,-3.98,0.06,0.97,-0.94
3/31/2005,52.01,53.49,50.06,50.11,373812500,-1.9,-1.97,-1.42,2.04,0.47,1.29
2/28/2005,52.4,53.74,51.1,51.61,181560100,-0.79,1.89,-0.3,1.53,1.45,-0.05
1/31/2005,53.75,54.6,52.22,52.4,183923700,-1.35,-2.76,-1.18,2.06,2.73,-1.46
12/31/2004,52.5,53.65,51.24,52.82,231643800,0.32,3.43,-0.05,-0.22,-1.16,0.46
11/30/2004,53.92,57.89,52.06,52.06,238267700,-1.86,4.54,4.11,1.42,-0.59,-0.21
10/29/2004,53.5,54.38,51.91,53.92,185838900,0.42,1.43,0.19,-0.22,-0.52,0.49
9/30/2004,52.46,53.96,51.1,53.2,206640300,0.74,1.6,3.27,-0.01,-1.48,-1.89
8/31/2004,53.02,54.97,51.08,52.67,186258300,-0.35,0.08,-1.16,1,1.18,-1.44
7/30/2004,53.1,54.19,51.5,53.01,210007000,-0.09,-4.06,-2.95,3.23,5.33,-1.66
6/30/2004,55.45,57.83,51.93,52.76,214484500,-2.69,1.86,2.56,1.19,1.2,-0.39
5/28/2004,57,57.52,53.45,55.73,205337100,-1.27,1.17,-0.38,-0.24,-1.18,0.02
4/30/2004,58.75,60.14,56.15,57,193281000,-1.75,-1.83,-2.01,-3.09,3.46,-2.84
3/31/2004,59.67,61.31,57.27,59.69,222337300,0.02,-1.32,2.1,0.28,1.56,-0.98
2/27/2004,54.2,60.15,54.15,59.56,225419200,5.36,1.4,-0.93,0.91,2.18,-1.21
1/30/2004,53.35,54.95,51.58,53.85,201663800,0.5,2.15,2.45,2.48,-3.67,3.38
12/31/2003,55.64,55.66,50.5,53.05,280065600,-2.59,4.29,-2.49,1.61,0.57,0.94
11/28/2003,58.77,59.93,54.36,55.64,172384700,-3.13,1.35,2.33,1.78,0.19,1.8
10/31/2003,56.02,59.64,56.01,58.95,152140600,2.93,6.08,2.71,1.97,-1.35,1.54
9/30/2003,58.96,60.2,55.8,55.85,175100700,-3.11,-1.24,0.55,0.15,1,0.35
8/29/2003,55.72,59.48,54.78,59.17,136669300,3.45,2.34,2.48,1.54,-2.24,2.13
7/31/2003,53.5,57.7,53,55.91,157989300,2.41,2.35,4.54,-1.24,-4.15,1.77
6/30/2003,52.96,55.59,52.12,53.67,166620900,0.71,1.42,1.68,0.15,0.48,-0.35
5/30/2003,56.32,56.95,51.63,52.61,190744000,-3.71,6.05,4.87,0.5,-7.06,2.99
4/30/2003,52.1,57.51,51.52,56.32,169673200,4.22,8.22,1.04,1.17,-4.7,1.09
3/31/2003,48.6,54.86,46.5,52.03,177796800,3.43,1.09,0.67,-1.91,1.85,-0.75
2/28/2003,47.77,49.79,46.25,48.06,147045300,0.29,-1.88,-0.93,-1.38,0.83,-0.61
1/31/2003,50.65,52.18,46.92,47.8,177204400,-2.85,-2.57,0.72,-0.81,-1,0.71
12/31/2002,55.96,56.74,48.95,50.51,172622000,-5.45,-5.76,0.62,2.14,6.29,-1.68
11/29/2002,53.59,56.2,52.57,53.9,172707800,0.31,5.96,2.93,-1.21,-9.21,5.17
10/31/2002,49.24,58.03,48.55,53.55,281372000,4.31,7.84,-4.3,-3.94,-3.4,0.77
9/30/2002,52.85,57,48.1,49.24,189286100,-3.61,-10.35,3.07,1.47,3.29,-2.19
8/30/2002,49,54.79,45.19,53.48,216148600,4.48,0.5,-1.3,3.29,1.36,-1.46
7/31/2002,55.3,56.7,43.72,49.18,256873400,-6.12,-8.18,-6.43,-3.85,3.79,-0.99
6/28/2002,54.18,58.88,52,55.01,198082500,0.83,-7.21,3.89,-0.03,3.93,2.49
5/31/2002,55.6,59.3,53.61,54.1,174180400,-1.5,-1.38,-3.02,1.53,2.37,2.43
4/30/2002,60.36,61.85,53.82,55.86,173902500,-4.5,-5.2,6.72,3.88,4.56,5.38
3/28/2002,62.2,63.94,60.3,61.3,151343400,-0.9,4.24,4.25,1.06,-1.78,0.57
2/28/2002,59.9,62.88,58.1,62.01,151688900,2.11,-2.29,-0.36,2.16,8.06,5.11
1/31/2002,57.65,59.98,55.31,59.98,150831500,2.33,-1.44,1.26,3.44,4.69,2.83
12/31/2001,55.23,58.74,53.03,57.55,135601900,2.32,1.6,5.16,0.85,0.35,-0.27
11/30/2001,51.2,56.24,50.86,55.15,158067900,3.95,7.54,-0.31,2.22,-3.72,-1.62
10/31/2001,49.5,54.75,48.14,51.4,187933400,1.9,2.46,5.28,-7.66,-2.99,-4.54
9/28/2001,48.23,49.95,41.5,49.5,174327700,1.27,-9.25,-5.73,1.45,5,3.2
8/31/2001,55.4,56.77,47.24,48.05,151455300,-7.35,-6.46,2.71,2.3,4.05,6.56
7/31/2001,48.95,56.5,46.71,55.9,154027100,6.95,-2.13,-2.83,5.21,7.42,3.06
6/29/2001,51.54,52.45,48,48.8,122370700,-2.74,-1.94,6.57,-1.13,1.6,-1.5
5/31/2001,51.72,54.75,51,51.75,146569900,0.03,0.72,3.59,3.38,0.26,1.88
4/30/2001,50,53.3,47.41,51.74,149743600,1.74,7.94,-0.86,-4.68,-3.07,-3.19
3/30/2001,49.25,51.9,45.2,50.5,169447700,1.25,-7.26,2.33,6.42,3.36,3.91
