timestamp,open,high,low,close,volume,Mkt-RF,SMB,HML,RMW,CMA,,,,,,,,,274,202209,-9.36,-0.96,0.05,-1.4,-0.82,0.19
2/28/2017,66.46,72.8,66.04,70.93,207958861,3.57,-2.21,-1.68,0.45,-1.83,,,,,,,,,175,201406,2.61,3.1,-0.7,-1.89,-1.98,0
1/31/2017,69.24,69.63,65.28,66.74,181529324,1.94,-1.43,-2.76,-0.5,-0.99,,,,,,,,,174,201405,2.06,-1.89,-0.13,0.05,-1.01,0
12/30/2016,70.25,72.48,68.83,69.12,162512660,1.81,0.39,3.56,1.23,-0.22,,,,,,,,,173,201404,-0.19,-4.14,1.17,3.48,1.04,0
11/30/2016,69.98,72.09,68.12,70.43,210402048,4.86,7.04,8.19,-0.21,3.69,,,,,,,,,172,201403,0.43,-1.13,4.93,2.13,1.98,0
10/31/2016,71.83,72.57,67.07,70.02,170697840,-2.02,-4.04,4.12,0.96,0.28,,,,,,,,,171,201402,4.65,0.16,-0.31,-0.23,-0.47,0
9/30/2016,71.57,73.19,70.3,72.12,177000967,0.25,1.86,-1.23,-2.23,0.03,,,,,,,,,170,201401,-3.32,0.58,-2.07,-3.88,-1.43,0
8/31/2016,72.81,75.19,70.89,71.44,212441767,0.49,1.7,3.13,-1.88,-0.34,,,,,,,,,169,201312,2.81,-0.44,-0.02,-0.46,0.08,0
7/29/2016,73.13,74.35,72.415,72.97,137444232,3.95,2.49,-1.27,1.25,-1.19,,,,,,,,,168,201311,3.13,1.4,0.32,0.14,0.05,0
6/30/2016,70.5,73.195,70.145,73.02,185958839,-0.05,0.44,-1.48,1.39,1.91,,,,,,,,,167,201310,4.18,-1.51,1.25,2.78,0.92,0
5/31/2016,66.62,71.375,62.72,70.78,232972261,1.78,-0.62,-1.66,-1.07,-2.49,,,,,,,,,166,201309,3.77,2.66,-1.22,-0.58,-1.4,0
4/29/2016,68.02,70.08,66.36,66.87,141246809,0.91,1.22,3.28,-2.92,1.86,,,,,,,,,165,201308,-2.71,-0.06,-2.69,0.66,-2.16,0
3/31/2016,66.65,69.19,64.88,68.49,202980432,6.96,1.08,1.19,0.76,-0.04,,,,,,,,,164,201307,5.65,1.8,0.57,-1.35,0.52,0
2/29/2016,65.91,68.2,62.35,66.34,263071454,-0.07,0.85,-0.57,3.28,1.99,,,,,,,,,163,201306,-1.2,1.56,0.03,-0.38,0.01,0
1/29/2016,60.5,66.53,60.2,66.36,264648837,-5.77,-3.48,2.09,2.8,3.07,,,,,,,,,162,201305,2.8,2.09,2.63,-1.97,-0.91,0
12/31/2015,59.13,61.87,58.315,61.3,226939706,-2.17,-2.97,-2.61,0.45,0.03,,,,,,,,,161,201304,1.55,-2.25,0.45,0.27,0.37,0
11/30/2015,57.29,61.47,56.3,58.84,224579683,0.56,3.29,-0.42,-2.71,-1.03,,,,,,,,,160,201303,4.03,0.86,-0.19,0.14,1.37,0
10/30/2015,64.76,67.95,57.16,57.24,347128402,7.75,-2.05,-0.46,0.86,0.55,,,,,,,,,159,201302,1.29,-0.25,0.11,-0.67,0.54,0
9/30/2015,63.98,67.01,62.915,64.84,190596569,-3.07,-2.8,0.56,1.8,-0.6,,,,,,,,,158,201301,5.57,0.47,0.96,-1.93,1.42,0
8/31/2015,71.84,73.695,61.5,64.73,227341577,-6.04,0.24,2.77,0.69,1.24,,,,,,,,,157,201212,1.18,1.91,3.51,-1.85,0.88,0.01
7/31/2015,71.6,74.14,70.36,71.98,150419189,1.54,-4.58,-4.13,0.31,-2.46,,,,,,,,,156,201211,0.78,0.47,-0.84,0.6,0.84,0.01
6/30/2015,74.69,75.2,70.78,70.93,176549427,-1.53,2.89,-0.79,0.45,-1.57,,,,,,,,,155,201210,-1.76,-0.9,3.59,-1.34,2.51,0.01
5/29/2015,78.2,79.94,74.15,74.27,151099118,1.36,0.82,-1.14,-1.78,-0.72,,,,,,,,,154,201209,2.73,0.61,1.6,-1.49,1.54,0.01
4/30/2015,82.28,82.28,77.55,78.05,143609932,0.59,-3.06,1.82,0.02,-0.65,,,,,,,,,153,201208,2.55,0.45,1.3,-1.33,-0.86,0.01
